previous_score,current_score,avg_time_per_item,scratchpad_usage,absences,risk_level
67,73,34,2,3,Moderate
86,81,65,3,0,Low
59,41,12,0,5,High
58,45,10,0,4,High
45,53,154,0,4,High
64,67,64,2,3,Moderate
70,60,75,2,4,Moderate
98,81,42,5,2,Low
34,21,11,0,4,High
83,100,46,3,0,Low
75,97,37,3,2,Low
33,39,117,0,8,High
48,24,139,1,7,High
70,60,61,1,5,Moderate
88,87,36,4,2,Low
62,61,48,3,3,Moderate
77,65,74,3,4,Moderate
82,90,52,3,1,Low
68,65,22,1,3,Moderate
65,29,8,0,5,High
100,92,65,3,1,Low
57,54,8,0,4,High
42,49,6,0,9,High
79,86,38,4,2,Low
77,62,72,1,4,Moderate
36,36,6,0,7,High
85,62,69,1,3,Moderate
91,80,50,5,2,Low
100,93,42,4,1,Low
84,100,41,4,1,Low
76,91,44,4,2,Low
87,83,31,4,0,Low
42,42,6,1,8,High
95,85,58,3,2,Low
75,99,63,4,0,Low
76,69,58,1,5,Moderate
70,74,43,3,2,Moderate
47,58,12,0,8,High
91,95,56,5,2,Low
63,73,81,2,3,Moderate
58,42,12,1,6,High
91,88,48,3,0,Low
73,74,49,2,5,Moderate
63,55,127,0,10,High
75,89,54,3,2,Low
65,39,151,1,5,High
55,42,10,0,5,High
46,47,9,1,10,High
87,94,70,3,2,Low
75,71,51,2,3,Moderate
42,20,8,0,5,High
61,56,118,1,5,High
47,38,109,0,7,High
60,64,71,1,3,Moderate
33,32,12,0,10,High
98,84,63,3,2,Low
79,90,50,5,2,Low
35,55,138,1,5,High
59,45,147,0,7,High
83,62,87,1,4,Moderate
63,60,69,3,3,Moderate
62,25,11,0,5,High
91,88,62,3,2,Low
78,88,63,5,2,Low
78,74,37,3,4,Moderate
89,85,68,4,2,Low
45,42,13,0,10,High
69,74,46,2,2,Moderate
71,62,54,2,2,Moderate
36,41,6,0,9,High
92,80,60,3,2,Low
89,99,41,3,0,Low
93,89,53,5,1,Low
78,97,34,4,1,Low
85,80,37,3,2,Low
90,97,64,5,1,Low
97,89,70,5,2,Low
82,94,54,5,2,Low
37,58,102,0,8,High
76,86,69,4,0,Low
70,65,37,3,3,Moderate
82,100,64,4,1,Low
48,34,168,0,6,High
61,72,31,3,3,Moderate
37,31,179,0,4,High
92,96,48,3,1,Low
98,82,53,5,2,Low
30,26,7,0,9,High
95,98,60,4,2,Low
38,53,123,0,9,High
36,20,138,0,8,High
43,32,163,0,4,High
49,52,103,0,6,High
39,22,136,1,6,High
42,41,170,0,5,High
77,89,30,4,0,Low
72,65,74,2,4,Moderate
78,63,34,1,3,Moderate
69,60,54,2,2,Moderate
50,30,8,0,10,High
61,65,83,2,5,Moderate
60,69,64,3,5,Moderate
74,70,70,1,2,Moderate
32,48,133,0,6,High
71,68,69,1,3,Moderate
61,61,81,3,2,Moderate
97,88,38,4,0,Low
80,98,50,3,1,Low
